|Posición|Descripcion|conc
0|010110|Caballos, asnos, mulos y burdéganos, vivos : Reproductores de raza pura|010110 - Caballos, asnos, mulos y burdéganos, vivos : Reproductores de raza pura
1|010111|Caballos reproductores de raza pura.|010111 - Caballos reproductores de raza pura.
2|010119|Los demas caballos vivos.|010119 - Los demas caballos vivos.
3|010120|Asnos, mulos y burdeganos, vivos.|010120 - Asnos, mulos y burdeganos, vivos.
4|010121|Caballos reproductores de raza pura|010121 - Caballos reproductores de raza pura
5|010129|Caballos vivos (excepto los de pura raza para reproducción)|010129 - Caballos vivos (excepto los de pura raza para reproducción)
6|010130|Asnos vivos|010130 - Asnos vivos
7|010190|Mulos y burdéganos, vivos|010190 - Mulos y burdéganos, vivos
8|010210|Animales vivos de la especie bovina : Reproductores de raza pura|010210 - Animales vivos de la especie bovina : Reproductores de raza pura
9|010221|De pura raza para la cría de ganado|010221 - De pura raza para la cría de ganado
10|010229|Animales vivos (excepto los de pura raza para reproducción)|010229 - Animales vivos (excepto los de pura raza para reproducción)
11|010231|De raza pura para la cría de búfalos|010231 - De raza pura para la cría de búfalos
12|010239|Búfalos vivos (excepto de raza pura para reproducción)|010239 - Búfalos vivos (excepto de raza pura para reproducción)
13|010290|Los bovinos vivos (excepto ganado y búfalos)|010290 - Los bovinos vivos (excepto ganado y búfalos)
14|010310|Porcinos reproductores de raza pura|010310 - Porcinos reproductores de raza pura
15|010391|Porcinos vivos, de peso < 50 kg (exc. reproductores de raza pura)|010391 - Porcinos vivos, de peso < 50 kg (exc. reproductores de raza pura)
16|010392|Porcinos vivos de peso >= 50 kg (exc. reproductores de raza pura)|010392 - Porcinos vivos de peso >= 50 kg (exc. reproductores de raza pura)
17|010410|Ovinos vivos|010410 - Ovinos vivos
18|010420|Caprinos vivos|010420 - Caprinos vivos
19|010511|Gallos y gallinas de las especies domésticas, vivos, de peso <= 185 g|010511 - Gallos y gallinas de las especies domésticas, vivos, de peso <= 185 g
20|010512|"Pavos """"gallipavos"""" de las especies domésticas, vivos, de peso <= 185 g"""""|"010512 - Pavos """"gallipavos"""" de las especies domésticas, vivos, de peso <= 185 g"""""
21|010513|Patos vivos domésticos, de peso <= 185 g|010513 - Patos vivos domésticos, de peso <= 185 g
22|010514|Gansos de las especies domésticas, vivos, de peso <= 185 g|010514 - Gansos de las especies domésticas, vivos, de peso <= 185 g
23|010515|Pintadas domésticas vivas, de peso <= 185 g|010515 - Pintadas domésticas vivas, de peso <= 185 g
24|010519|Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, ...|010519 - Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, ...
